ICAO	STATION	REGION	COUNTRY	ELEVATION	LATITUDE	LONGITUDE	TIMESTAMP	TEMPERATURE	DEWPOINT	HUMIDITY	VISIBILITY_QUAL	VISIBILITY	WIND_DIR	WIND_DEG	WIND_SPEED	GUST_SPEED
LATI	Tirana		Albania	89.0	41.333	19.783	Tue Apr 06 07:00:00 PDT 2004	18.0	13.0	72	BEYOND	10000.0	SW	230	5.144444444444445	5.144444444444445
DAAY	Mecheria		Algeria	1149.0	34.933	-0.433	Tue Apr 06 08:00:00 PDT 2004	22.0	-1.0	21	AT	7000.0	WNW	290	8.231111111111112	8.231111111111112
DAAD	Bou-Saada		Algeria	461.0	35.333	4.2	Tue Apr 06 08:00:00 PDT 2004	25.0	6.0	29	BEYOND	10000.0	N	0	0.0	0.0
DABS	Tebessa		Algeria	813.0	35.483	8.133	Tue Apr 06 08:00:00 PDT 2004	22.0	5.0	32	BEYOND	10000.0	W	280	5.144444444444445	5.144444444444445
DAUH	Hassi-Messaoud		Algeria	142.0	31.667	6.15	Tue Apr 06 08:00:00 PDT 2004	28.0	-4.0	12	BEYOND	10000.0	SW	220	3.086666666666667	3.086666666666667
DAOO	Oran / Es Senia		Algeria	90.0	35.633	-0.6	Tue Apr 06 08:00:00 PDT 2004	21.0	13.0	60	BEYOND	10000.0	N	0	6.173333333333334	6.173333333333334
DAUT	Timimoun		Algeria	312.0	29.25	0.283	Tue Apr 06 08:00:00 PDT 2004	30.0	-2.0	12	BEYOND	10000.0	NE	50	4.630000000000001	4.630000000000001
DAUL	Laghouat		Algeria	765.0	33.767	2.933	Tue Apr 06 08:00:00 PDT 2004	26.0	-1.0	16	BEYOND	10000.0	NW	310	7.202222222222223	7.202222222222223
DAUE	El Golea		Algeria	397.0	30.567	2.867	Tue Apr 06 06:00:00 PDT 2004	27.0	0.0	17	BEYOND	10000.0	N	0	0.0	0.0
DAUZ	In Amenas		Algeria	562.0	28.05	9.633	Tue Apr 06 08:00:00 PDT 2004	26.0	1.0	19	BEYOND	10000.0	N	0	0.0	0.0
DAAT	Tamanrasset / Aguenna		Algeria	1377.0	22.817	5.467	Tue Apr 06 08:00:00 PDT 2004	27.0	-7.0	10	BEYOND	10000.0	W	270	3.086666666666667	3.086666666666667
DABC	Constantine		Algeria	694.0	36.283	6.617	Tue Apr 06 08:00:00 PDT 2004	20.0	6.0	39	BEYOND	10000.0	NW	320	5.144444444444445	5.144444444444445
DAUG	Ghardaia		Algeria	450.0	32.383	3.817	Tue Apr 06 08:00:00 PDT 2004	26.0	10.0	36	BEYOND	10000.0	NW	320	5.144444444444445	5.144444444444445
DAUO	El Oued		Algeria	63.0	33.5	6.117	Tue Apr 06 08:00:00 PDT 2004	28.0	5.0	22	BEYOND	10000.0	SSE	160	7.716666666666667	7.716666666666667
DAUU	Ouargla		Algeria	141.0	31.917	5.4	Tue Apr 06 08:00:00 PDT 2004	28.0	6.0	24	BEYOND	10000.0	SSW	210	3.086666666666667	3.086666666666667
DAAV	Jijel Achouat		Algeria	2.0	36.883	5.817	Tue Apr 06 08:00:00 PDT 2004	19.0	11.0	59	BEYOND	10000.0	NW	320	5.658888888888889	5.658888888888889
DAOB	Tiaret		Algeria	1127.0	35.25	1.433	Tue Apr 06 08:00:00 PDT 2004	21.0	-2.0	21	BEYOND	10000.0	WNW	290	6.173333333333334	6.173333333333334
DAAP	Illizi		Algeria	558.0	26.5	8.417	Tue Apr 06 08:00:00 PDT 2004	30.0	5.0	20	BEYOND	10000.0	N	0	0.0	0.0
DAUK	Touggourt		Algeria	85.0	33.117	6.133	Tue Apr 06 08:00:00 PDT 2004	28.0	2.0	18	BEYOND	10000.0	SW	220	9.260000000000002	9.260000000000002
